goodreads_book_id,tag_id,count
432,30574,5159
432,11743,261
432,8717,156
432,20939,126
432,11557,78
432,18367,40
432,2277,37
432,8055,32
432,22034,28
432,22743,27
432,8517,27
432,2313,26
432,18326,25
432,923,25
432,7457,22
432,23131,22
432,21437,22
432,21989,21
432,5207,20
432,24080,18
432,8921,18
432,8067,17
432,26735,17
432,31656,15
432,27199,14
432,31535,14
432,11590,13
432,473,13
432,9221,12
432,10644,11
432,236,11
432,1642,10
432,9336,10
432,240,10
432,22753,9
432,2312,9
432,24060,9
432,20849,8
432,5090,8
432,18045,8
432,3456,8
432,26126,8
432,19835,8
432,12948,8
432,20994,8
432,29187,8
432,25150,7
432,22009,7
432,24083,7
432,10197,6
432,2294,6
432,7404,6
432,24997,6
432,20989,6
432,20957,6
432,20926,6
432,12315,6
432,26740,6
432,23471,6
432,19524,6
432,27669,6
432,22111,6
432,31528,6
432,31514,6
432,30521,5
432,25167,5
432,18318,5
432,32586,5
432,24996,5
432,10094,5
432,251,5
432,25114,5
432,26752,5
432,7668,5
432,23960,5
432,2104,4
432,20774,4
432,25152,4
432,25151,4
432,17213,4
432,11574,4
432,21111,4
432,20279,4
432,30358,4
432,10093,4
432,8527,4
432,8533,4
432,25149,4
432,1659,4
432,33760,4
432,13561,4
432,7778,4
432,13547,4
432,21672,4
432,8545,4
432,32302,4
432,11570,4
432,25761,4
432,895,4
432,18377,4
902,30574,53759
902,20939,2666
902,11557,1974
902,8717,1545
902,33114,1416
902,11743,1173
902,32989,645
902,6953,595
902,7457,427
902,19974,419
902,21457,370
902,6888,341
902,6857,318
902,5207,291
902,17124,254
902,6828,240
902,6895,239
902,22743,233
902,26735,219
902,20926,201
902,16799,167
902,6838,156
902,25438,139
902,24960,134
902,20994,128
902,4949,124
902,7404,123
902,16805,118
902,21470,117
902,18045,113
902,17129,112
902,6960,104
902,25114,103
902,19983,103
902,2104,98
902,6914,96
902,12315,86
902,21459,86
902,21474,83
902,26740,82
902,17213,81
902,33165,79
902,33012,78
902,6920,78
902,20989,75
902,29076,72
902,25765,69
902,6976,68
902,30521,67
902,21447,66
902,33023,65
902,9221,64
902,17090,60
902,22034,59
902,33124,58
902,29452,57
902,30573,57
902,22753,55
902,3389,55
902,11505,55
902,19980,53
902,11497,51
902,7484,51
902,30860,51
902,20849,50
902,1691,48
902,8055,48
902,30358,48
902,20948,48
902,11590,47
902,6829,47
902,6909,47
902,3371,46
902,10197,46
902,3676,45
902,15169,44
902,6597,44
902,25150,43
902,21472,43
902,15048,42
902,6977,40
902,3392,38
902,6949,38
902,31359,38
902,20774,36
902,22689,36
902,20957,36
902,17086,36
902,20656,36
902,3677,36
902,20824,35
902,21989,34
902,25151,34
902,6847,34
902,21473,34
902,11305,33
902,25014,33
902,1173,33
902,21464,33
902,28525,32
960,30574,26678
960,11743,9364
960,20939,5740
960,11557,5077
960,30358,4563
960,8865,1937
960,22743,1714
960,5207,1712
960,29076,1274
960,27199,1024
960,1691,973
960,20994,965
960,14487,822
960,8517,820
960,9221,736
960,1642,661
960,30386,632
960,22753,605
960,8717,573
960,8055,532
960,1659,486
960,25647,460
960,20989,387
960,21989,378
960,11590,373
960,20774,373
960,12948,371
960,11305,322
960,1540,307
960,18045,272
960,20926,270
960,8067,263
960,20849,257
960,15169,246
960,14467,240
960,8020,237
960,1542,232
960,29083,217
960,26026,216
960,5090,198
960,10644,193
960,30521,193
960,8533,191
960,14552,174
960,8545,169
960,5481,165
960,30373,165
960,27535,162
960,9886,161
960,15924,161
960,26837,155
960,3389,153
960,18367,153
960,5842,153
960,17213,148
960,11978,147
960,3392,146
960,22689,144
960,10197,139
960,11497,138
960,20957,137
960,2277,134
960,22545,127
960,30381,123
960,26771,122
960,20288,117
960,5838,115
960,9336,112
960,2313,109
960,2104,108
960,4949,108
960,25685,108
960,10210,106
960,22944,105
960,20570,105
960,11505,98
960,20662,97
960,3371,95
960,23993,94
960,615,93
960,5444,93
960,24960,92
960,33777,90
960,7457,87
960,26138,87
960,21003,86
960,20205,86
960,32586,85
960,617,85
960,1128,84
960,14064,83
960,1416,83
960,25106,83
960,2938,80
960,11574,79
960,14764,78
960,20547,78
960,23349,76
960,25438,74
960,20279,73
968,11743,13725
968,8717,9968
968,11557,6024
968,30358,5358
968,30574,5231
968,5207,2283
968,22743,2235
968,8865,2013
968,29076,1507
968,14487,1379
968,1691,1244
968,20994,1160
968,22034,1018
968,27199,1011
968,9221,938
968,1642,923
968,8055,786
968,22753,776
968,1659,725
968,30386,707
968,25647,672
968,21989,623
968,12948,535
968,11590,490
968,20774,486
968,20989,480
968,20926,408
968,8067,391
968,11305,379
968,14467,379
968,20849,352
968,4949,337
968,1540,333
968,14552,324
968,18045,323
968,15169,312
968,8020,285
968,18367,264
968,17213,261
968,5090,260
968,1542,258
968,2938,242
968,10644,241
968,2277,239
968,8533,235
968,26026,234
968,26256,233
968,29083,232
968,7457,227
968,5481,225
968,11978,218
968,27535,212
968,22689,204
968,9886,202
968,3389,196
968,30373,194
968,9336,183
968,20957,180
968,11497,179
968,30521,172
968,22545,171
968,12452,171
968,33777,169
968,611,167
968,20288,166
968,5842,164
968,23993,162
968,10197,157
968,30381,156
968,617,155
968,3392,145
968,2313,139
968,20547,139
968,20570,139
968,26251,134
968,10210,133
968,615,132
968,24960,131
968,2104,131
968,5838,129
968,11505,128
968,20939,121
968,941,119
968,20824,117
968,3371,117
968,25438,117
968,26138,115
968,14064,115
968,8527,115
968,5444,110
968,14764,108
968,25106,108
968,20781,104
968,21003,103
968,1128,102
968,1416,102
968,5036,102
968,26837,101
968,26246,100
968,25685,100
976,30574,18861
976,11743,3201
976,30358,2273
976,20939,1594
976,8865,1372
976,11557,859
976,22743,693
976,5207,573
976,29076,556
976,8717,482
976,9221,452
976,1691,384
976,20994,384
976,30386,317
976,8517,297
976,26837,288
976,22034,253
976,26771,243
976,22753,237
976,1540,192
976,21989,155
976,20774,154
976,1642,149
976,20989,138
976,8055,137
976,1659,128
976,18045,119
976,1542,119
976,5842,105
976,20849,104
976,12948,100
976,8020,92
976,10644,91
976,15169,81
976,29083,81
976,30373,80
976,17213,75
976,11590,73
976,10210,72
976,10197,70
976,5838,70
976,8067,69
976,8533,68
976,20926,68
976,8545,65
976,5090,64
976,3389,62
976,2277,62
976,3392,61
976,9886,58
976,22689,54
976,33777,53
976,11305,52
976,22944,52
976,12940,51
976,11978,51
976,30521,50
976,3371,48
976,20957,48
976,23909,47
976,9336,46
976,5481,46
976,30381,46
976,14064,44
976,2876,44
976,21003,43
976,26816,43
976,615,42
976,14764,40
976,32586,40
976,1554,40
976,22545,39
976,18367,39
976,2313,38
976,20991,38
976,26138,37
976,33724,36
976,8019,36
976,27535,34
976,617,34
976,14487,33
976,10093,33
976,5180,33
976,5444,32
976,23931,32
976,14752,32
976,3379,31
976,10094,30
976,28525,30
976,24246,30
976,11497,29
976,26894,29
976,15392,29
976,5332,29
976,26890,29
976,25606,29
976,29431,28
976,21128,28
976,4949,27
976,10379,27
1110,30574,3160
1110,16518,683
1110,30358,375
1110,20939,300
1110,8717,249
1110,13720,226
1110,9221,223
1110,22743,197
1110,11743,191
1110,5207,159
1110,17863,145
1110,29076,120
1110,8517,103
1110,17857,89
1110,11557,78
1110,13723,75
1110,20994,66
1110,30386,63
1110,22753,56
1110,22034,51
1110,3389,48
1110,18045,48
1110,15924,47
1110,20849,46
1110,615,45
1110,10866,44
1110,17721,43
1110,17864,42
1110,20989,41
1110,1659,33
1110,21989,32
1110,15169,31
1110,3371,31
1110,20926,31
1110,10210,29
1110,3379,29
1110,10197,28
1110,17860,28
1110,12948,27
1110,1642,26
1110,3392,25
1110,20774,24
1110,9886,23
1110,20656,23
1110,10644,22
1110,14064,22
1110,617,22
1110,17213,21
1110,8055,21
1110,8527,20
1110,14821,20
1110,14764,19
1110,8067,18
1110,5180,18
1110,23002,18
1110,11005,18
1110,5090,17
1110,28751,17
1110,22944,17
1110,8545,17
1110,3338,17
1110,29083,16
1110,2338,16
1110,15736,16
1110,22689,15
1110,10094,15
1110,20957,15
1110,31557,15
1110,1691,14
1110,18284,14
1110,1540,14
1110,11978,14
1110,2277,13
1110,11503,13
1110,6122,13
1110,23349,13
1110,14752,13
1110,10093,12
1110,30381,12
1110,27535,11
1110,8533,11
1110,3377,11
1110,3358,10
1110,21003,10
1110,23931,10
1110,5481,10
1110,28466,10
1110,30373,10
1110,23993,10
1110,25150,9
1110,32586,9
1110,21001,9
1110,30766,9
1110,21953,9
1110,23928,9
1110,30521,8
1110,22545,8
1110,24999,8
1110,12724,8
1110,30369,8
1232,30574,190891
1232,8717,9749
1232,11557,6875
1232,11743,4560
1232,14487,2973
1232,20939,2613
1232,4949,1323
1232,5207,928
1232,22743,864
1232,11305,796
1232,5105,777
1232,11590,744
1232,28259,648
1232,14467,641
1232,13446,448
1232,27199,429
1232,28261,421
1232,18919,375
1232,26138,355
1232,22753,346
1232,18367,337
1232,1642,315
1232,30358,311
1232,22034,296
1232,8055,286
1232,30521,281
1232,5051,277
1232,18045,263
1232,20994,254
1232,17213,238
1232,29076,230
1232,9221,225
1232,18326,217
1232,1659,214
1232,12948,196
1232,1416,196
1232,3389,195
1232,21989,193
1232,11497,181
1232,3911,179
1232,28269,174
1232,2104,172
1232,10932,157
1232,3371,155
